noise,seed,method,l1_spearman,l2_spearman
0.05,56,Diffusion Maps,0.514187471658502,0.9140723410977262
0.05,56,PHATE,0.8417664096177219,0.858110374130008
0.05,56,HeatGeo,0.8226993313113015,0.8677488232945302
0.05,56,DTNE,0.8455054362501965,0.8770221253021406
0.05,56,EntroPath,0.8816992601961642,0.897310335596477
0.05,57,Euclidean,0.5313558257221703,
0.05,57,Isomap,0.8292824718560482,0.7673986579310678
0.05,57,Shortest Path,0.8292824718560482,0.8096994705243012
0.05,57,Diffusion Maps,0.4946154956877839,0.9146295265846137
0.05,57,PHATE,0.8075633446926167,0.8027920283925748
0.05,57,HeatGeo,0.7957869312516619,0.7602151003917876
0.05,57,DTNE,0.8075814751850401,0.7867031527775901
0.05,57,EntroPath,0.8735744473933664,0.8683656519190527
0.05,58,Euclidean,0.5311865051166725,
0.05,58,Isomap,0.8569412254423008,0.8149603535882056
0.05,58,Shortest Path,0.8569412254423008,0.855722329857872
0.05,58,Diffusion Maps,0.5207955563389803,0.8966727481518537
0.05,58,PHATE,0.8262900796321585,0.8346666143972888
0.05,58,HeatGeo,0.8098250622969143,0.7855014638009696
0.05,58,DTNE,0.871438939945949,0.8971443881144778
0.05,58,EntroPath,0.8857214921552369,0.9030587237702937
0.05,59,Euclidean,0.5340874680200461,
0.05,59,Isomap,0.8181851951508788,0.75627742665552
0.05,59,Shortest Path,0.8181851951508788,0.7730398284690394
0.05,59,Diffusion Maps,0.4961135666346687,0.9019959303668352
0.05,59,PHATE,0.8034988313931742,0.789534522542803
0.05,59,HeatGeo,0.7910369858900922,0.7500370011559835
0.05,59,DTNE,0.82026690524166,0.7869296091844722
0.05,59,EntroPath,0.8742175876361605,0.8594152768065716
0.05,60,Euclidean,0.5368440184694451,
0.05,60,Isomap,0.7956520933514806,0.7184221125089573
0.05,60,Shortest Path,0.7956520933514806,0.7618426172433065
0.05,60,Diffusion Maps,0.5168077460186551,0.903732574556798
0.05,60,PHATE,0.7813152161456104,0.7655209981792698
0.05,60,HeatGeo,0.7614896551316199,0.7052889899266451
0.05,60,DTNE,0.8758863669206977,0.8918986779418239
0.05,60,EntroPath,0.9121621394743918,0.9291214286167108
0.05,61,Euclidean,0.5342298126728531,
0.05,61,Isomap,0.8333133052239334,0.8052494961504777
0.05,61,Shortest Path,0.8333133052239334,0.8451089184855191
0.05,61,Diffusion Maps,0.47759451823734694,0.8961433758959061
0.05,61,PHATE,0.8014195076682485,0.8122452351941738
0.05,61,HeatGeo,0.7833363900508814,0.7730063355206133
0.05,61,DTNE,0.8025954071465163,0.813550621908552
0.05,61,EntroPath,0.8528228205288833,0.8669737806170353
0.05,62,Euclidean,0.5257014315686372,
0.05,62,Isomap,0.8011277947111695,0.7261407974107175
0.05,62,Shortest Path,0.8011277947111695,0.7465002203158637
0.05,62,Diffusion Maps,0.48346387015579867,0.9147248952591913
0.05,62,PHATE,0.8113909459151498,0.7946735445913649
0.05,62,HeatGeo,0.7865031267428009,0.7353828100228794
0.05,62,DTNE,0.8675016124233289,0.8960289943064627
0.05,62,EntroPath,0.8851475820042155,0.9109951683364206
0.05,63,Euclidean,0.5268282065679988,
0.05,63,Isomap,0.8192592597807914,0.7537512584272618
0.05,63,Shortest Path,0.8192592597807914,0.7838598279297307
0.05,63,Diffusion Maps,0.4865970355109988,0.9073263242830125
0.05,63,PHATE,0.8084767047915851,0.7831038541462924
0.05,63,HeatGeo,0.7930694024760128,0.752470450613445
0.05,63,DTNE,0.8504092079275374,0.8501668776152341
0.05,63,EntroPath,0.8833974556031772,0.8811698683658646
0.05,64,Euclidean,0.5408503308118023,
0.05,64,Isomap,0.7756269310871653,0.6954846190264802
0.05,64,Shortest Path,0.7756269310871653,0.7356794232837139
0.05,64,Diffusion Maps,0.5065846961987001,0.8888465406877614
0.05,64,PHATE,0.7345288711615567,0.701916295855886
0.05,64,HeatGeo,0.7335722141806639,0.6716621632062278
0.05,64,DTNE,0.7784337468877082,0.7408161325009353
0.05,64,EntroPath,0.8618172752066725,0.8355789637994674
0.05,65,Euclidean,0.5309574778883437,
0.05,65,Isomap,0.8177944023295433,0.7654050079724548
0.05,65,Shortest Path,0.8177944023295433,0.786793429783961
0.05,65,Diffusion Maps,0.5087770208152125,0.9173892235900233
0.05,65,PHATE,0.7978859535037791,0.792716637226271
0.05,65,HeatGeo,0.786043853786503,0.7498518202156634
0.05,65,DTNE,0.8134005880417687,0.8024164552088358
0.05,65,EntroPath,0.8630957542660219,0.8705089039301933
0.05,66,Euclidean,0.5307447791433255,
0.05,66,Isomap,0.8173858439850556,0.7801518928405645
0.05,66,Shortest Path,0.8173858439850556,0.8403402266733969
0.05,66,Diffusion Maps,0.4933044548250101,0.9052846787057195
0.05,66,PHATE,0.8192080270187647,0.8475072345046398
0.05,66,HeatGeo,0.7954020753139335,0.8541393237729976
0.05,66,DTNE,0.8677904028756122,0.8900073728538443
0.05,66,EntroPath,0.8647005016464688,0.8863022488226097
0.05,67,Euclidean,0.5189928286350383,
0.05,67,Isomap,0.8239834132802136,0.7648961349631272
0.05,67,Shortest Path,0.8239834132802136,0.8043694179777577
0.05,67,Diffusion Maps,0.51198668554848,0.8958089303856133
0.05,67,PHATE,0.7875914338024869,0.7780474588517984
0.05,67,HeatGeo,0.7737264432471492,0.7430239060160713
0.05,67,DTNE,0.7921595369231164,0.7845834140268332
0.05,67,EntroPath,0.8208983605595961,0.776056983081631
0.05,68,Euclidean,0.5349764814892433,
0.05,68,Isomap,0.8376848558430868,0.7700638708858935
0.05,68,Shortest Path,0.8376848558430868,0.8000896352290261
0.05,68,Diffusion Maps,0.4942049475511029,0.8887018933160276
0.05,68,PHATE,0.8096416095014475,0.7911185276294304
0.05,68,HeatGeo,0.793911342101982,0.7506243666705725
0.05,68,DTNE,0.808014507699796,0.7700398952381597
0.05,68,EntroPath,0.8894118251550701,0.8819837906933948
0.05,69,Euclidean,0.5317999020035544,
0.05,69,Isomap,0.8109015617230538,0.7465964253192663
0.05,69,Shortest Path,0.8109015617230538,0.7749580459478989
0.05,69,Diffusion Maps,0.494911776500112,0.886877482980229
0.05,69,PHATE,0.7750333266227709,0.7525466729348159
0.05,69,HeatGeo,0.765952927500537,0.7149632303095993
0.05,69,DTNE,0.7787745758006631,0.7320512402289734
0.05,69,EntroPath,0.8585123294259742,0.847343419043606
0.05,70,Euclidean,0.5163561320239701,
0.05,70,Isomap,0.8828268554945642,0.8894496611496441
0.05,70,Shortest Path,0.8828268554945642,0.9156689325225676
0.05,70,Diffusion Maps,0.5200368900456235,0.9098887048343993
0.05,70,PHATE,0.8604603000043567,0.8742349936477248
0.05,70,HeatGeo,0.8489874603623133,0.8914041048745094
0.05,70,DTNE,0.8730199735227975,0.898449305483072
0.05,70,EntroPath,0.8961809758625559,0.9187403581009724
0.05,71,Euclidean,0.5256532619507952,
0.05,71,Isomap,0.8115829651304632,0.7471197088717032
0.05,71,Shortest Path,0.8115829651304632,0.7803023123791627
0.05,71,Diffusion Maps,0.4796386497550577,0.8865390727713707
0.05,71,PHATE,0.7860454662631616,0.7615311962723105
